query,predicted_mql
What is the profits and sales by product name and ship mode in 1st quarter of last year vs q2 2020,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}], 'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}], 'q2 2020': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 2 2020'}]}}"
What is the profits of product name except slovenia,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}}"
What is the profits across 2 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the profits by product name across 2 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the profits of el salvador across 2 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the profits and sales across 2 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the profits and sales by product name across 2 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the profits and sales by product name and ship mode across 2 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}], 'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What are the product name with profits more than 10k across 2 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the profits of product name except slovenia across 2 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
"What is the profits , sales and discount percentage across 2 months","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}], 'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
"What is the profits , sales and discount percentage by product name across 2 months","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}], 'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
"What is the profits , sales and discount percentage in 1st quarter of last year","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}], 'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
"What is the profits , sales and discount percentage of product name in 1st quarter of last year","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}], 'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
Which product name have profits more than 10k,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10k', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}}"
Which product name have profits more than 10k in 1st quarter of last year,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
What is the profits of el salvador and south sudan in 1st quarter of last year,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
What is the profits of el salvador and south sudan across 2 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the profits of el salvador and south sudan across 2 months in 1st quarter of last year,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}], 'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across 2 months'}]}}"
What is the discount in march 2022,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
What is the discount by cities in march 2022,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
What is the discount of burundi in march 2022,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
What is the discount by cities in march 2022 vs 15d,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], '15d': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}"
What is the discount in march 2022 vs 15d,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], '15d': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}"
What is the discount and quantities in march 2022,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
What is the discount and quantities by cities in march 2022,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
What is the discount and quantities by cities and region in march 2022,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}], 'region': [{'ENTITY': 'Region'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
What is the discount and quantities in march 2022 vs 15d,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], '15d': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}"
What is the discount and quantities by cities in march 2022 vs 15d,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], '15d': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}"
What is the discount and quantities by cities and region in march 2022 vs 15d,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}], 'region': [{'ENTITY': 'Region'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], '15d': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}"
What are the cities with discount is greater than 20000,"{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}}"
What is the discount of cities except guinea bissau,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}}"
What is the discount across 2 months,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the discount by cities across 2 months,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the discount of burundi across 2 months,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the discount and quantities across 2 months,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the discount and quantities by cities across 2 months,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the discount and quantities by cities and region across 2 months,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}], 'region': [{'ENTITY': 'Region'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What are the cities with discount greater than 20000 across 2 months,"{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the discount of cities except guinea bissau across 2 months,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
"What is the discount , quantities and profit across 2 months","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}], 'profit': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
"What is the discount , quantities and profit by cities across 2 months","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}], 'profit': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
"What is the discount , quantities and profit in march 2022","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}], 'profit': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
"What is the discount , quantities and profit of cities in march 2022","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'quantities': [{'ENTITY': 'Quantity'}], 'profit': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
Which cities have discount greater than 20000,"{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}}"
Which cities have discount greater than 20000 in march 2022,"{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
What is the discount of burundi and mali in march 2022,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}"
What is the discount of burundi and mali across 2 months,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the discount of burundi and mali across 2 months in march 2022,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'march 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], 'across 2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}"
What is the profits in last 10 days,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}"
What is the profits by customer id in last 10 days,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}"
What is the profits of envelopes in last 10 days,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'FILTER': {'envelopes': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}"
What is the profits by customer id in last 10 days vs last 10 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}], 'last 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}"
What is the profits in last 10 days vs last 10 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}], 'last 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}"
What is the profits and discounts in last 10 days,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}"
What is the profits and discounts by customer id in last 10 days,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}"
What is the profits and discounts by customer id and cities in last 10 days,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}], 'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}"
What is the profits and discounts in last 10 days vs last 10 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}], 'last 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}"
What is the profits and discounts by customer id in last 10 days vs last 10 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}], 'last 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}"
What is the profits and discounts by customer id and cities in last 10 days vs last 10 months,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}], 'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}], 'last 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}"
What are the customer id with profits is more than 10k,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}}"
What is the profits of customer id except ireland,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}}"
What is the profits across 3 years,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across years'}]}}"
What is the profits by customer id across 3 years,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}"
What is the profits of envelopes across 3 years,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'FILTER': {'envelopes': [{'ENTITY': 'Envelopes', 'PARENT': 'Sub-Category'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}"
What is the profits and discounts across 3 years,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}"
What is the profits and discounts by customer id across 3 years,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}"
What is the profits and discounts by customer id and cities across 3 years,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}], 'cities': [{'ENTITY': 'City'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}"
What are the customer id with profits more than 10k across 3 years,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}"
What is the profits of customer id except ireland across 3 years,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}"
"What is the profits , discounts and profits across 3 years","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}"
"What is the profits , discounts and profits by customer id across 3 years","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DATE VARIABLE': {'across 3 years': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 years'}]}}"
"What is the profits , discounts and profits in last 10 days","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}"
