,query,predicted_mql,actual_iMQL_phrased,INDEX
10,"Last 10 months, which countries had the best correlation between sales and discount %?","{'DIMENSION': {'countries': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'best', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'correlation between sales and discount %': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'sales': 'Sales'}, {'discount percentage': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'Last 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}","{'DIMENSION': {'countries': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}], 'ADJECTIVE': ['best'], 'TONE': 'positive'}]}, 'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'sales': 'Sales'}, {'discount percentage': 'Discount percentage'}]}]}, 'DATE VARIABLE': {'last 10 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 months'}]}}",10
11,Least profitable products in 1st quarter of last year?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'ADJECTIVE': ['least'], 'TONE': 'negative'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}","{'MEASURE': {'profitable': [{'ENTITY': 'Profit', 'ADJECTIVE': ['least'], 'TONE': 'negative'}]}, 'DIMENSION': {'products': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}",11
12,"Find out discount alterations in Burundi, March 2022","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DERIVED MEASURE': {'diagnose': [{'ENTITY': 'why', 'APPLIED MEASURE': [{'discount': 'Discount'}]}], 'change': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'March 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'ADJECTIVE': ['alterations']}]}, 'DATE VARIABLE': {'March 2022': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}",12
13,What was the discount % forecast in the last quarter?,"{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",13
14,Number of cities with discount growth in 2 months?,"{'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DERIVED MEASURE': {'discount growth': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'DIMENSION': {'cities': [{'ENTITY': 'City'}]}, 'DERIVED MEASURE': {'discount growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",14
15,Customer IDs with over $10k profits?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'Customer IDs': [{'ENTITY': 'Customer ID'}]}}",15
16,Haiti & Central Asia discount % across 2,"{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'FILTER': {'Southeast Asia': [{'ENTITY': 'Southeast Asia', 'PARENT': 'Region'}]}}",{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}},16
17,How did El Salvador profits do in Q1 of the previous year?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'contribution': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'Q1 of the previous year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'Q1 of the previous year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}",17
18,Previous quarter vs p5d: discount percentage for subcategories?,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}], 'p5d': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 5 days'}]}}","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'subcategories': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'Previous quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}], 'p5d': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 5 days'}]}}",18
19,Trend of sub-category discount % in last quarter?,"{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'last quarter': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}","{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'sub-category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last quarter'}]}}",19
20,"In the last 10 days, what's the growth contribution for overall profits, except for customer id in Ireland?","{'DIMENSION': {'customer id': [{'ENTITY': 'Customer ID'}]}, 'DERIVED MEASURE': {'growth contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last 10 days': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 10 days'}]}}",20
21,Haiti's discount percentage for 2,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DATE VARIABLE': {'2': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 days'}]}}",{},21
22,Which ship mode had highest sales in past 3 months?,"{'MEASURE': {'sale': [{'ENTITY': 'Sales', 'ADJECTIVE': ['highest'], 'TONE': 'positive'}]}, 'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DATE VARIABLE': {'past 3 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 months'}]}}","{'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode', 'RANK': [{'RANK ADJECTIVE': 'highest', 'RANK VALUE': '1'}], 'ADJECTIVE': ['highest'], 'TONE': 'positive'}]}, 'DATE VARIABLE': {'past 3 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 3 months'}]}}",22
23,Bottom cities by discount growth rate in Mar '22?,"{'DIMENSION': {'cities': [{'ENTITY': 'City', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'Mar '22': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}","{'error_output': '{\n    ""MEASURE"": {},\n    ""DIMENSION"": {\n        ""cities"": [\n            {\n                ""ENTITY"": ""City"",\n                ""RANK"": [{""RANK ADJECTIVE"":""bottom"", ""RANK VALUE"": ""1""}],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""FILTER"": {},\n    ""DERIVED MEASURE"": {\n        ""discount growth rate"": [\n            {\n                ""ENTITY"": ""Growth Rate"",\n                ""RATIO FILTER"": [{""discount"": ""Discount""}],\n                ""APPLIED MEASURE"": [{""discount"": ""Discount""}],\n                ""DERIVED MEASURE CONSTRAINT"": [],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""DATE VARIABLE"": {\n        ""Mar \'22"": [\n            {\n                ""ENTITY"": ""Order Date"",\n                ""CONVERTED TIME ELEMENT"": ""March 2022""\n            }\n        ]\n    }\n}'}",23
24,Do discounts impact profits?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'profits': 'Profit'}, {'discounts': 'Discount'}]}]}}","{'MEASURE': {'discounts': [{'ENTITY': 'Discount'}], 'profits': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'impacts': [{'ENTITY': 'kda', 'APPLIED MEASURE': [{'discounts': 'Discount', 'profits': 'Profit'}]}]}}",24
25,"In 03/22, where are discounts more than 20,000?","{'MEASURE': {'discounts': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}], 'regions': [{'ENTITY': 'Region'}]}}","{'MEASURE': {'discounts': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20000', 'COMPARISON OPERATOR': '>'}]}]}, 'DATE VARIABLE': {'03/22': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}",25
26,"In March '22, when was Burundi's discount at its peak for the first time?","{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'ADJECTIVE': ['peak'], 'TONE': 'positive'}]}, 'DATE VARIABLE': {'March 22': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 22 2022'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount', 'ADJECTIVE': ['peak'], 'TONE': 'positive'}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}], 'first time': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'from start to end'}]}}",26
27,Kenya & S,"{'MEASURE': {'sale': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'country': [{'ENTITY': 'Country'}]}, 'DERIVED MEASURE': {'percentage': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'sale': 'Sales'}]}]}}",,27
28,El Salvador & South Sudan shares' profit trend in last year's Q1?,"{'DERIVED MEASURE': {'share': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last year\'s Q1': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last year's Q1'}]}}","{'MEASURE': {'profit': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'shares': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'profit': 'Profit'}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last year quarter 1'}]}}",28
29,2-month discount in Burundi & Mali?,"{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'2-month discount': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",29
30,El Salvador & S,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'across days'}]}}",,30
31,Discount ratio for Burundi & Mali?,"{'DERIVED MEASURE': {'discount ratio': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}}","{'DERIVED MEASURE': {'Discount ratio': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'Discount': 'Discount'}]}]}}",31
32,Growth rate trend for El Salvador & South Sudan profits in 2 months?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DERIVED MEASURE': {'Growth rate': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'trend': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",32
33,Top nations for discount growth in 2,"{'DIMENSION': {'countries': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'Top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'discount growth': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'discount': 'Discount'}]}]}, 'DATE VARIABLE': {'2': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 years'}]}}","{'DIMENSION': {'nations': [{'ENTITY': 'Country', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': ''}]}]}, 'DERIVED MEASURE': {'discount growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'discount': 'Discount'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARISON OPERATOR': ''}]}]}, 'DATE VARIABLE': {'2': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'fy 2002'}]}}",33
34,Haiti/Central Asia discount % comparison?,"{'DERIVED MEASURE': {'ratio': [{'ENTITY': 'ratio', 'APPLIED MEASURE': [{'discount percentage': 'Discount percentage'}]}]}}",{},34
35,Subcategory discount % in prev,"{'MEASURE': {'discount percentage': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'prev': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last period'}]}}","{'MEASURE': {'discount %': [{'ENTITY': 'Discount percentage'}]}, 'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category'}]}, 'DATE VARIABLE': {'prev': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last period'}]}}",35
36,"Discounts above 20k in cities/regions, March '22?","{'MEASURE': {'discounts': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '20k', 'COMPARISON OPERATOR': '>'}]}]}, 'DIMENSION': {'cities': [{'ENTITY': 'City'}], 'regions': [{'ENTITY': 'Region'}]}, 'DATE VARIABLE': {'March '22': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'March 2022'}]}}","{'error_output': '{\n    ""MEASURE"": {\n        ""discounts"": [\n            {\n                ""ENTITY"": ""Discount"",\n                ""MEASURE CONSTRAINT"": [\n                    {\n                        ""COMPARISON VALUE"": ""20000"",\n                        ""COMPARISON OPERATOR"": "">""\n                    }\n                ],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""DIMENSION"": {\n        ""regions"": [\n            {\n                ""ENTITY"": ""Region"",\n                ""RANK"": [],\n                ""ADJECTIVE"": [],\n                ""TONE"": """"\n            }\n        ]\n    },\n    ""FILTER"": {},\n    ""DERIVED MEASURE"": {},\n    ""DATE VARIABLE"": {\n        ""March \'22"": [\n            {\n                ""ENTITY"": ""Order Date"",\n                ""CONVERTED TIME ELEMENT"": ""March 2022""\n            }\n        ]\n    }\n}'}",36
37,"Q1 last year, when was product name's highest growth from profits?","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'highest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'growth contribution': [{'ENTITY': 'contribution_to_growth', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last year'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name', 'RANK': [{'RANK ADJECTIVE': 'highest', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'growth': [{'ENTITY': 'Growth Rate', 'APPLIED MEASURE': [{'profits': 'Profit'}]}]}, 'DATE VARIABLE': {'last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last year'}], 'when': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'when'}]}}",37
38,"In 2 months, what's the discount and shipping cost by subcategory & priority?","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'shipping cost': [{'ENTITY': 'Shipping Cost'}]}, 'DIMENSION': {'subcategory': [{'ENTITY': 'Sub-Category'}], 'priority': [{'ENTITY': 'Order Priority'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'discount': [{'ENTITY': 'Discount'}], 'shipping cost': [{'ENTITY': 'Shipping Cost'}]}, 'DIMENSION': {'sub category': [{'ENTITY': 'Sub-Category'}], 'priority': [{'ENTITY': 'Order Priority'}]}, 'DATE VARIABLE': {'2 months': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",38
39,El Salvador's 2-month profits?,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}","{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'2-month': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 2 months'}]}}",39
40,15-day top ship modes: sales & discounts correlation?,"{'MEASURE': {'sales': [{'ENTITY': 'Sales'}], 'discounts': [{'ENTITY': 'Discount'}]}, 'DIMENSION': {'ship mode': [{'ENTITY': 'Ship Mode', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'sale': 'Sales'}, {'discounts': 'Discount'}]}]}, 'DATE VARIABLE': {'15-day': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}","{'DIMENSION': {'ship modes': [{'ENTITY': 'Ship Mode', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'DERIVED MEASURE': {'correlation': [{'ENTITY': 'correlation', 'APPLIED MEASURE': [{'sales': 'Sales'}, {'discounts': 'Discount'}]}]}, 'DATE VARIABLE': {'15-day': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'last 15 days'}]}}",40
