query,predicted_mql
"in corporate, share of phone and binder basis discount","{'DERIVED MEASURE': {'share': [{'APPLIED MEASURE': [{'discount': 'Discount'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARSION OPERATOR': ''}], 'ENTITY': 'Ratio', 'RATIO FILTER': ['Phone', 'Binder']}]}, 'FILTER': {'binder': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}], 'corporate': [{'ENTITY': 'Corporate', 'PARENT': 'Segment'}], 'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', '"
phone to binder ratio of discount in corporate,"{'DATE': {'': []}, 'DERIVED MEASURE': {'ratio': [{'APPLIED MEASURE': [{'discount': 'Discount'}], 'DERIVED MEASURE CONSTRAINT': [{'COMPARISON VALUE': '', 'COMPARSION OPERATOR': ''}], 'ENTITY': 'Ratio', 'RATIO FILTER': ['Phone', 'Binder']}]}, 'DIMENSION': {'corporate': [{'ENTITY': 'Corporate', 'RANK': [{'RANK ADJECTIVE': '', 'RANK VALUE': ''}]}]}, 'FILTER': {'binder': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARIS"
segments with discount rate greater than 100k,"{'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'MEASURE': {'discount rate': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '100k', 'COMPARSION OPERATOR': '>'}]}]}}"
category with discount rate greater than 10k and quantity less than 2k,"{'DIMENSION': {'category': [{'ENTITY': 'Sub-Category'}]}, 'MEASURE': {'discount rate': [{'ENTITY': 'Discount', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '10k', 'COMPARSION OPERATOR': '>'}]}], 'quantity': [{'ENTITY': 'Quantity', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '2k', 'COMPARSION OPERATOR': '<'}]}]}}"
why did discount of phones drop,"{'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'FILTER': {'phones': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'discount': [{'ADJECTIVE': ['dropped'], 'ENTITY': 'Discount', 'TONE': 'negative'}]}}"
correlation of sales and purchase for phone,"{'DERIVED MEASURE': {'correlation': [{'APPLIED MEASURE': [{'sales': 'Sales'}, {'purchase': 'Purchase Vol'}], 'ENTITY': 'correlation'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}}"
what will be the sales in q1 24,"{'DATE VARIABLE': {'q1 24': [{'CONVERTED TIME ELEMENT': 'quarter 1 2024', 'DATE RANGE': '2024/01/01 - 2024/03/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in q1 and q2 2021,"{'DATE VARIABLE': {'q1 and q2 2021': [{'CONVERTED TIME ELEMENT': 'quarter 1 and quarter 2 2021', 'DATE RANGE': '2021/01/01 - 2021/03/31, 2021/04/01 - 2021/06/30', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
how many segments contributing to growth of sales in p3m,"{'DATE VARIABLE': {'p3m': [{'CONVERTED TIME ELEMENT': 'previous 3 months', 'DATE RANGE': '2023/06/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'contributing to growth': [{'APPLIED MEASURE': [{'sales': 'Sales'}], 'ENTITY': 'contribution_to_growth'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}}"
how has sales trended in first week of 2021,"{'DATE VARIABLE': {'first week of 2021': [{'CONVERTED TIME ELEMENT': 'first week of 2021', 'DATE RANGE': '2021/01/01 - 2021/01/07', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
what will be sales in 1st 5 days of 2024,"{'DATE VARIABLE': {'1st 5 days of 2024': [{'CONVERTED TIME ELEMENT': 'first 5 days of january 2024', 'DATE RANGE': '2024/01/01 - 2024/01/05', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales and purchase across yoy,"{'DATE VARIABLE': {'yoy': [{'CONVERTED TIME ELEMENT': 'year over year', 'DATE RANGE': '2022/09/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'purchase': [{'ENTITY': 'Purchase Vol'}], 'sales': [{'ENTITY': 'Sales'}]}}"
show me the 2 top segments basis sales,"{'DIMENSION': {'segments': [{'ENTITY': 'Segment', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '2'}]}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
top 2 and bottom 3 segments by sales,"{'DIMENSION': {'segments': [{'ENTITY': 'Segment', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '2'}, {'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '3'}]}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
top 2 segments and bottom 3 sub-category basis quantity,"{'DIMENSION': {'segments': [{'ENTITY': 'Segment', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '2'}]}], 'sub-category': [{'ENTITY': 'Sub-Category', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '3'}]}]}, 'MEASURE': {'quantity': [{'ENTITY': 'Quantity'}]}}"
quantity across segments except consumer and corporate in dubai,"{'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'FILTER': {'consumer': [{'ENTITY': 'Consumer', 'EXCLUDE': 'True', 'PARENT': 'Segment'}], 'corporate': [{'ENTITY': 'Corporate', 'EXCLUDE': 'True', 'PARENT': 'Segment'}], 'dubai': [{'ENTITY': 'Dubai', 'PARENT': 'Country'}]}, 'MEASURE': {'quantity': [{'ENTITY': 'Quantity'}]}}"
in corporate share of phone and binder basis discount,"{'DERIVED MEASURE': {'share': [{'APPLIED MEASURE': [{'discount': 'Discount'}], 'ENTITY': 'Ratio', 'RATIO FILTER': ['Phone', 'Binder']}]}, 'FILTER': {'binder': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}], 'corporate': [{'ENTITY': 'Corporate', 'PARENT': 'Segment'}], 'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}}"
list of under performing segments,"{'DIMENSION': {'segments': [{'ADJECTIVE': ['under performing'], 'ENTITY': 'Segment', 'RANK': [{'RANK ADJECTIVE': 'bottom', 'RANK VALUE': '1'}], 'TONE': 'negative'}]}}"
when was the first time sales of segments was 0,"{'DATE VARIABLE': {'when': [{'CONVERTED TIME ELEMENT': 'when', 'ENTITY': 'Order Date'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '0', 'COMPARSION OPERATOR': '='}]}]}}"
sales of segments from beginning,"{'DATE VARIABLE': {'beginning': [{'CONVERTED TIME ELEMENT': 'beginning', 'DATE RANGE': '01/01/2020 - 15/09/2023', 'ENTITY': 'Order Date'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales YTD,"{'DATE VARIABLE': {'YTD': [{'CONVERTED TIME ELEMENT': 'year to date', 'DATE RANGE': '2023/01/01 - 2023/09/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in last one and half years,"{'DATE VARIABLE': {'last one and half years': [{'CONVERTED TIME ELEMENT': 'last one and half years', 'DATE RANGE': '2022/03/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
trend of sales in dubai now,"{'DATE VARIABLE': {'trend': [{'CONVERTED TIME ELEMENT': 'now', 'DATE RANGE': '2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'dubai': [{'ENTITY': 'Dubai', 'PARENT': 'Country'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in the week of 01 March 2022,"{'DATE VARIABLE': {'week of 01 March 2022': [{'CONVERTED TIME ELEMENT': 'week of 1 March 2022', 'DATE RANGE': '2022/02/28 - 2022/03/06', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
top most selling segments in 2020 vs 2021,"{'DATE VARIABLE': {'2020 vs 2021': [{'CONVERTED TIME ELEMENT': '2020 vs 2021', 'DATE RANGE': '2020/01/01 - 2020/12/31, 2021/01/01 - 2021/12/31', 'ENTITY': 'Order Date'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment', 'RANK': [{'RANK ADJECTIVE': 'top', 'RANK VALUE': '1'}]}]}, 'MEASURE': {'selling': [{'ENTITY': 'Sales'}]}}"
sales from 100 to 200,"{'MEASURE': {'sales': [{'ENTITY': 'Sales', 'MEASURE CONSTRAINT': [{'COMPARISON VALUE': '100', 'COMPARSION OPERATOR': '>='}, {'COMPARISON VALUE': '200', 'COMPARSION OPERATOR': '<='}]}]}}"
sales in last month of previous year,"{'DATE VARIABLE': {' last month of previous year': [{'CONVERTED TIME ELEMENT': ' last month of previous year', 'DATE RANGE': '2022/12/01 - 2022/12/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of phones in last two months,"{'DATE VARIABLE': {'last two months': [{'CONVERTED TIME ELEMENT': 'last two months', 'DATE RANGE': '2023/07/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of phones in last 2.5 years,"{'DATE VARIABLE': {'last 2.5 years': [{'CONVERTED TIME ELEMENT': 'last 2.5 years', 'DATE RANGE': '2021/03/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of phones in last 3 months,"{'DATE VARIABLE': {'last 3 months': [{'CONVERTED TIME ELEMENT': 'last 3 months', 'DATE RANGE': '2023/06/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of phones in last 7 months,"{'DATE VARIABLE': {'last 7 months': [{'CONVERTED TIME ELEMENT': 'last 7 months', 'DATE RANGE': '2023/02/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of phones in last nine months,"{'DATE VARIABLE': {'last nine months': [{'CONVERTED TIME ELEMENT': 'last nine months', 'DATE RANGE': '2021/01/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of phones in last 5 years,"{'DATE VARIABLE': {'last 5 years': [{'CONVERTED TIME ELEMENT': 'last 5 years', 'DATE RANGE': '2020/01/01 - 2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of segment in 2nd month of last year,"{'DATE VARIABLE': {'2nd month of last year': [{'CONVERTED TIME ELEMENT': '2nd month of last year', 'DATE RANGE': '2022/02/01 - 2022/02/28', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
quantity of binders in 5th month of this year,"{'DATE VARIABLE': {'5th month of this year': [{'CONVERTED TIME ELEMENT': '5th month of this year', 'DATE RANGE': '2023/05/01 - 2023/05/31', 'ENTITY': 'Order Date'}]}, 'FILTER': {'binders': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'quantity': [{'ENTITY': 'Quantity'}]}}"
discount of binders this year,"{'DATE VARIABLE': {'this year': [{'CONVERTED TIME ELEMENT': 'this year', 'DATE RANGE': '2023/01/01 - 2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'binders': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}}"
discount of phones in last four years,"{'DATE VARIABLE': {'last four years': [{'CONVERTED TIME ELEMENT': 'last four years', 'DATE RANGE': '2020/01/01-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phones': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}}"
quantity of phones in feb 2021 vs mar 2023,"{'DATE VARIABLE': {'feb 2021': [{'CONVERTED TIME ELEMENT': 'february 2021', 'DATE RANGE': '2021/02/01 - 2021/02/28', 'ENTITY': 'Order Date'}], 'mar 2023': [{'CONVERTED TIME ELEMENT': 'march 2023', 'DATE RANGE': '2023/03/01 - 2023/03/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'quantity': [{'ENTITY': 'Quantity'}]}, 'FILTER': {'phones': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}}"
quantity of binders in 7th month of last year,"{'DATE VARIABLE': {'7th month of last year': [{'CONVERTED TIME ELEMENT': '7th month of last year', 'DATE RANGE': '2022/07/01 - 2022/07/31', 'ENTITY': 'Order Date'}]}, 'FILTER': {'binders': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'quantity': [{'ENTITY': 'Quantity'}]}}"
discount of phones in last 1 year,"{'DATE VARIABLE': {'last 1 year': [{'CONVERTED TIME ELEMENT': 'last 1 year', 'DATE RANGE': '2022/09/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phones': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}}"
sales of phones in last four months,"{'DATE VARIABLE': {'last four months': [{'CONVERTED TIME ELEMENT': 'last four months', 'DATE RANGE': '2023/05/15-2023/09/15', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of segments current year,"{'DATE VARIABLE': {'current year': [{'CONVERTED TIME ELEMENT': 'current year', 'DATE RANGE': '2023/01/01 - 2023/09/15', 'ENTITY': 'Order Date'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of segments this year,"{'DATE VARIABLE': {'this year': [{'CONVERTED TIME ELEMENT': 'this year', 'DATE RANGE': '2023/01/01 - 2023/09/15', 'ENTITY': 'Order Date'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales of segments last year,"{'DATE VARIABLE': {'last year': [{'CONVERTED TIME ELEMENT': 'last year', 'DATE RANGE': '2022/01/01 - 2022/12/31', 'ENTITY': 'Order Date'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in the last 2 weeks,"{'DATE VARIABLE': {'last 2 weeks': [{'CONVERTED TIME ELEMENT': 'last 2 weeks', 'DATE RANGE': '2023/09/01-2023/09/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in last 15 days,"{'DATE VARIABLE': {'last 15 days': [{'CONVERTED TIME ELEMENT': 'last 15 days', 'DATE RANGE': '2023/09/01-2023/09/15', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
discount of segments in last three weeks,"{'DATE VARIABLE': {'last three weeks': [{'CONVERTED TIME ELEMENT': 'last three weeks', 'DATE RANGE': '2023/08/23-2023/09/15', 'ENTITY': 'Order Date'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}}"
discount of segments in last ten days,"{'DATE VARIABLE': {'last ten days': [{'CONVERTED TIME ELEMENT': 'last ten days', 'DATE RANGE': '2023/09/05-2023/09/15', 'ENTITY': 'Order Date'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}}"
quantity of binders in 10th month of last year,"{'DATE VARIABLE': {'10th month of last year': [{'CONVERTED TIME ELEMENT': 'last year 10th month', 'DATE RANGE': '2022/10/01 - 2022/10/31', 'ENTITY': 'Order Date'}]}, 'FILTER': {'binders': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'quantity': [{'ENTITY': 'Quantity'}]}}"
what is sales of phone in 01/2023,"{'DATE VARIABLE': {'01/2023': [{'CONVERTED TIME ELEMENT': 'january 2023', 'DATE RANGE': '2023/01/01 - 2023/01/31', 'ENTITY': 'Order Date'}]}, 'FILTER': {'Phone': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'Sales': [{'ENTITY': 'Sales'}]}}"
sales in 02/22,"{'DATE VARIABLE': {'02/22': [{'CONVERTED TIME ELEMENT': 'february 2022', 'DATE RANGE': '2022/02/01 - 2022/02/28', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
discount of phones in 04/23,"{'DATE VARIABLE': {'04/23': [{'CONVERTED TIME ELEMENT': 'april, 2023', 'DATE RANGE': '2023/04/01 - 2023/04/30', 'ENTITY': 'Order Date'}]}, 'FILTER': {'phones': [{'ENTITY': 'Phone', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}}"
quantity of binders in 03/2022,"{'DATE VARIABLE': {'03/2022': [{'CONVERTED TIME ELEMENT': 'March 2022', 'DATE RANGE': '2022/03/01 - 2022/03/31', 'ENTITY': 'Order Date'}]}, 'FILTER': {'binders': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'quantity': [{'ENTITY': 'Quantity'}]}}"
quantity of binders in 09/22,"{'DATE VARIABLE': {'09/22': [{'CONVERTED TIME ELEMENT': 'September 2022', 'DATE RANGE': '2022/09/01 - 2022/09/31', 'ENTITY': 'Order Date'}]}, 'FILTER': {'binders': [{'ENTITY': 'Binder', 'PARENT': 'Sub-Category'}]}, 'MEASURE': {'quantity': [{'ENTITY': 'Quantity'}]}}"
discount of segments in 07/23,"{'DATE VARIABLE': {'07/23': [{'CONVERTED TIME ELEMENT': 'July 2023', 'DATE RANGE': '2023/07/01 - 2023/07/31', 'ENTITY': 'Order Date'}]}, 'DIMENSION': {'segments': [{'ENTITY': 'Segment'}]}, 'MEASURE': {'discount': [{'ENTITY': 'Discount'}]}}"
Sales in second quarter 2022,"{'DATE VARIABLE': {'second quarter 2022': [{'CONVERTED TIME ELEMENT': ' quarter 2, 2022', 'DATE RANGE': '2022/04/01 - 2022/06/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
Sales in 3rd quarter 2021,"{'DATE VARIABLE': {'3rd quarter 2021': [{'CONVERTED TIME ELEMENT': ' quarter 3, 2021', 'DATE RANGE': '2021/07/01 - 2021/09/30', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
Sales in quarter4 2021,"{'DATE VARIABLE': {'quarter4 2021': [{'CONVERTED TIME ELEMENT': ' quarter 4, 2021', 'DATE RANGE': '2021/10/01 - 2021/12/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
Sales in quarter2 FY 2021,"{'DATE VARIABLE': {'quarter2 FY 2021': [{'CONVERTED TIME ELEMENT': ' quarter 2, Financial year 2021', 'DATE RANGE': '2021/07/01 - 2021/09/30', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
Sales in quarter4 FY 2021,"{'DATE VARIABLE': {'quarter4 FY 2021': [{'CONVERTED TIME ELEMENT': ' quarter 4, Financial year 2021', 'DATE RANGE': '2022/01/01 - 2022/03/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in 2nd quarter,"{'DATE VARIABLE': {'2nd quarter': [{'CONVERTED TIME ELEMENT': ' quarter 2, 2023', 'DATE RANGE': '2023/04/01 - 2023/06/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in fourth quarter,"{'DATE VARIABLE': {'fourth quarter': [{'CONVERTED TIME ELEMENT': ' quarter 4, 2023', 'DATE RANGE': '2023/10/01 - 2023/12/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in 06.21,"{'DATE VARIABLE': {'06.21': [{'CONVERTED TIME ELEMENT': ' june, 2021', 'DATE RANGE': '2021/06/01 - 2021/06/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
sales in 10.22,"{'DATE VARIABLE': {'10.22': [{'CONVERTED TIME ELEMENT': ' october, 2022', 'DATE RANGE': '2022/10/01 - 2022/10/31', 'ENTITY': 'Order Date'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
why sales changed in last 2 quarters of 2021,"{'DATE VARIABLE': {'last 2 quarters of 2021': [{'CONVERTED TIME ELEMENT': 'last 2 quarters of 2021', 'DATE RANGE': '2021/07/01 - 2021/12/31', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
why sales changed in first 3 quarters of 2021,"{'DATE VARIABLE': {'first 3 quarters of 2021': [{'CONVERTED TIME ELEMENT': 'first 3 quarters of 2021', 'DATE RANGE': '2021/01/01 - 2021/09/30', 'ENTITY': 'Order Date'}]}, 'DERIVED MEASURE': {'why': [{'ENTITY': 'Why'}]}, 'MEASURE': {'sales': [{'ENTITY': 'Sales'}]}}"
